"","n","err","class"
"227475",227475,0.000738904455006437,3
"228064",228064,0.000762123689067769,3
"228151",228151,0.000771517897978609,3
"231775",231775,0.00116099393031069,3
"232176",232176,0.00126762898225685,3
"232320",232320,0.00128699938926783,3
"233381",233381,0.0011945034035607,3
"233586",233586,0.000952356178694926,3
"235356",235356,0.00104761003255306,3
"235687",235687,0.00111371242534423,3
"235874",235874,0.00111847394935607,3
"236987",236987,0.00101760229697065,3
"237177",237177,0.000967959462293899,3
"238653",238653,0.000218195676369405,3
"239031",239031,7.80209516125278e-05,3
"239686",239686,0.000291063856738826,3
"239807",239807,0.000365020307974897,3
"240966",240966,0.000201731989253127,3
"241524",241524,0.000148144060769271,3
"241874",241874,0.000217183061874631,3
"242847",242847,0.0007403126463643,3
"244159",244159,0.00185834313522839,3
"245913",245913,0.0014035564060823,3
"246646",246646,0.000999538468160572,3
"247360",247360,0.000674771844869646,3
"247373",247373,0.000622184165397879,3
"247740",247740,0.000660266131523313,3
"248323",248323,0.000506373259965656,3
"250653",250653,0.000301393123155009,3
"251800",251800,0.000594211064393652,3
"252038",252038,0.000751389806195945,3
"252124",252124,0.00069908855544823,3
"252365",252365,0.000946398260921914,3
"252897",252897,0.00108830429786327,3
"253595",253595,0.00106257712799385,3
"253986",253986,0.00107836377121166,3
"256345",256345,0.00149339706893948,3
"256408",256408,0.00150678529150886,3
"257338",257338,0.00137900553796815,3
"257560",257560,0.00173944794146385,3
"258205",258205,0.00212173434361283,3
"258576",258576,0.00255679485157212,3
"259002",259002,0.00270480860982349,3
"259704",259704,0.00299604018087701,3
"261112",261112,0.00229838200776634,3
"261450",261450,0.00195797079527716,3
"261568",261568,0.00191557510513135,3
"262248",262248,0.0019333799997021,3
"263197",263197,0.00210495116159547,3
"264301",264301,0.00226035381615164,3
"264304",264304,0.00223417578190531,3
"265013",265013,0.00247236935255871,3
"266205",266205,0.00250807019060394,3
"266220",266220,0.00245257415214357,3
"267443",267443,0.00252970068552818,3
"267559",267559,0.00244349936653774,3
"269541",269541,0.00212972127354335,3
"269559",269559,0.00215958296213489,3
"270936",270936,0.00225543597682083,3
"272676",272676,0.00273330234156762,3
"272848",272848,0.00281703834281016,3
"275907",275907,0.00277180442770959,3
"276989",276989,0.00201515977520399,3
"277963",277963,0.00248105665970869,3
"278969",278969,0.00256062974811898,3
"279829",279829,0.00257975050273426,3
"279886",279886,0.00242872891966534,3
"280059",280059,0.00262023746848083,3
"281211",281211,0.00293451546443607,3
"281679",281679,0.00279643475398137,3
"282028",282028,0.00262459692295113,3
"282037",282037,0.00265642387695965,3
"282061",282061,0.00260071796022144,3
"282086",282086,0.00254855751852258,3
"282426",282426,0.002907027404423,3
"282694",282694,0.00304583763848968,3
"283742",283742,0.00302510430800338,3
"284734",284734,0.00350468096464798,3
"285107",285107,0.00345248234455648,3
"285994",285994,0.00342395593833446,3
"287526",287526,0.00325255641718468,3
"287921",287921,0.00324292917962491,3
"287985",287985,0.00318908966616552,3
"288178",288178,0.00296238212791483,3
"288499",288499,0.00256000027857815,3
"288858",288858,0.00242704164776078,3
"288880",288880,0.00243438811992824,3
"290187",290187,0.00276015228676295,3
"290332",290332,0.00267780776457507,3
"290527",290527,0.00297190734349115,3
"291379",291379,0.00353999099366569,3
"293567",293567,0.00343725050497404,3
"293641",293641,0.00345209991887915,3
"294898",294898,0.00326306235652156,3
"295121",295121,0.00307578781569942,3
"296036",296036,0.0028423027735054,3
"296465",296465,0.00258007812272823,3
"297018",297018,0.00243477558442129,3
"297142",297142,0.00221725905659695,3
"299022",299022,0.0020927905535587,3
"299867",299867,0.00173150536442044,3
"299912",299912,0.00178213871004373,3
"300105",300105,0.00196169437822889,3
"301942",301942,0.00192768533163124,3
"302931",302931,0.00188134979945851,3
"303184",303184,0.00212577171045787,3
"304036",304036,0.00162931357457625,3
"304341",304341,0.00155505864997919,3
"304775",304775,0.00125312989971769,3
"305035",305035,0.00135703302519408,3
"305139",305139,0.00134007324438345,3
"305621",305621,0.00132586400384497,3
"306778",306778,0.00166739793565838,3
"306841",306841,0.00167854991768808,3
"310330",310330,0.000892820445768145,3
"310404",310404,0.000843608220310014,3
"311643",311643,0.00080837665265403,3
"312899",312899,0.00152464022752829,3
"312994",312994,0.00157434640196706,3
"313049",313049,0.0016547711170814,3
"313082",313082,0.00160170036259229,3
"313941",313941,0.00146032326340825,3
"315337",315337,0.000882925338343114,3
"315632",315632,0.000874606137389721,3
"315746",315746,0.000764446779456784,3
"316009",316009,0.000529595541132687,3
"317711",317711,0.00117282078352143,3
"318064",318064,0.00147109208618695,3
"318157",318157,0.00154488565892574,3
"319428",319428,0.00129750668292279,3
"319867",319867,0.00145962233907854,3
"320106",320106,0.00155488893863809,3
"320267",320267,0.00177826524641488,3
"320643",320643,0.00186685329822572,3
"322675",322675,0.00191654540139059,3
"325637",325637,0.00177200785685543,3
"325865",325865,0.00174041105376282,3
"326783",326783,0.00166312852364681,3
"326916",326916,0.00161448034606025,3
"327285",327285,0.00152867480248709,3
"327510",327510,0.0015790558840636,3
"328212",328212,0.00157030196137412,3
"329094",329094,0.001535415164558,3
"329870",329870,0.00142024832145913,3
"332081",332081,0.00111406499025833,3
"332946",332946,0.00120841474431481,3
"333033",333033,0.00132051768128249,3
"333041",333041,0.00128498175523887,3
"333532",333532,0.00150702220015429,3
